Release_date=2017-03-01
Gene	Domaine	Start	End	Accession
SAMD11_CCDS2.2	SAM_2	543	597	PF07647.16
NOC2L_CCDS3.1	Noc2	328	622	PF03715.12
HES4_CCDS5.1	HLH	35	91	PF00010.25
HES4_CCDS5.1	Hairy_orange	109	147	PF07527.12
ISG15_CCDS6.1	ubiquitin	5	77	PF00240.22
ISG15_CCDS6.1	ubiquitin	84	155	PF00240.22
C1orf159_CCDS7.2	DUF4501	24	198	PF14946.5
TTLL10_CCDS8.1	TTL	209	376	PF03133.14
TNFRSF4_CCDS11.1	TNFR_c6	31	64	PF00020.17
TNFRSF4_CCDS11.1	TNFR_c6	67	107	PF00020.17
TNFRSF4_CCDS11.1	TNFR_c6	128	166	PF00020.17
SDF4_CCDS12.1	EF-hand_7	101	163	PF13499.5
SDF4_CCDS12.1	EF-hand_5	289	306	PF13202.5
B3GALT6_CCDS13.1	Galactosyl_T	71	259	PF01762.20
UBE2J2_CCDS14.1	UQ_con	16	125	PF00179.25
UBE2J2_CCDS15.1	UQ_con	56	141	PF00179.25
UBE2J2_CCDS16.1	UQ_con	2	73	PF00179.25
ACAP3_CCDS19.2	Ank_5	688	743	PF13857.5
ACAP3_CCDS19.2	PH	269	362	PF00169.28
ACAP3_CCDS19.2	ArfGap	404	520	PF01412.17
ACAP3_CCDS19.2	BAR_3	3	236	PF16746.4
PUSL1_CCDS20.1	PseudoU_synth_1	19	121	PF01416.19
PUSL1_CCDS20.1	PseudoU_synth_1	168	284	PF01416.19
CPSF3L_CCDS21.1	RMMBL	378	438	PF07521.11
CPSF3L_CCDS21.1	Beta-Casp	245	363	PF10996.7
CPSF3L_CCDS21.1	Lactamase_B_6	22	194	PF16661.4
DVL1_CCDS22.1	DEP	403	472	PF00610.20
DVL1_CCDS22.1	PDZ	252	335	PF00595.23
DVL1_CCDS22.1	DIX	3	81	PF00778.16
DVL1_CCDS22.1	Dishevelled	90	247	PF02377.14
DVL1_CCDS22.1	Dsh_C	478	660	PF12316.7
MXRA8_CCDS24.1	V-set	39	157	PF07686.16
MXRA8_CCDS24.1	V-set	172	291	PF07686.16
